kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
2;3;;;Rp 725.000.000;Ciangsana gunung putri cibubur Gunung Putri Bogor;Rumah berlantai 2 selangkah kota wisata;;;;
8;7;;;Rp 2.500.000.000;jl cikande cipangeran Padalarang West Bandung;Luxury home dalam 3 tahun di the epic kabar;;;;
4;4;;;Rp 3.300.000.000;Jagakarsa Jakarta Selatan;RUMHA MEWAH + KOLA RENANG DALAM TOWNHOUSE DI JAGAKARSA;;;;
3;4;;;Rp 2.500.000.000;Sukomanunggal Surabaya;Dijual rumah BU..garcep daerah darmo sukomanunggal;;;;
4;4;;;Rp 5.000.000.000;Jl. I Gusti Ngurah Rai No. 20 Klender Duren Sawit Jakarta Timur;Bukit Podomoro Jakarta Tipe 7 Classic;;;;
2;2;;;Rp 876.201.000;Bekasi Utara Bekasi;RUMAH BEKASI 2 LANTAI TANPA DP FREE BIAYA DEKAT PUSAT KOTA 5 MENIT KE SUMMARECON;;;;
2;2;;;Rp 736.000.000;Jl. Diklat Pemda Bojong Nangka Kelapa Dua Tangerang Banten Tangerang Selatan;CENDANA BOTANIC SERPONG;;;;
1;3;;;Rp 360.000.000;vila gading harapan barat Babelan Bekasi;Rumah Siap Huni di Vila Gading Harapan Barat;;;;
4;5;;;Rp 60.024.000.000;Jalan Riau Bandung Kota 40113 Indonesia Bandung Wetan Bandung;Rumah lokasi premium jalan riau dan langka;;;;
2;4;;;Rp 2.200.000.000;Jakarta Utara;Rumah Cantik Di Komplek Pertamina Jakarta utara Nego Langsung OWNER Tanpa Perant;;;;
2;4;;;Rp 1.100.000.000;Villa Mutiara Serpong Serpong Utara Tangerang Selatan;Jual Rumah Di Villa Mutiara Serpong Dekat BSD Dan Bintaro;;;;
1;2;;;Rp 468.000.000;Cibiru Hilir Kec. Cileunyi Kabupaten Bandung Jawa Barat 40626 Cibiru Hilir Bandung;Perumahan Islami di Cibiru Hilir Dekat Bunderan Cibiru dan kampus UIN dan UPI; Cukup Bayar 5 jt ; Angsuran 3 jt an;;
1;2;;;Rp 485.000.000;Tegal Tirto Kel. Berbah Sleman Indonesia Berbah Sleman;RUMAH MURAH MINIMALIS HARGA BAWAH PASARAN DI BERBAH SLEMAN; NEGO;;;
4;5;;;Rp 1.700.000.000;Tambun Selatan Bekasi;Dp 0% Fasilitas mewah lokasi sangat strategis bebas banjir;;;;
4;5;;;Rp 3.900.000.000;Bintaro Tangerang Selatan;Dijual rumah hunian nyaman;;;;
1;2;;;Rp 630.000.000;Griya Harapan 1 Bekasi Barat Bekasi;Dijual Murah Rumah Di Griya Harapan Permai Bekasi;;;;
4;5;;;Rp 5.000.000.000;Jl Arcamanik Sindangjaya – Bandung Arcamanik Bandung;Dijual sebuah rumah di Jl Arcamanik ;;;;
4;4;;;Rp 3.500.000.000;Tangerang Selatan;Rumah di BSD City Cluster Anthea Tanggerang Selatan Nego;;;;
2;2;;;Rp 2.200.000.000;Jalan Nusa Dua Badung 80363 Indonesia Nusa Dua Badung;DZ-1167 Villa Offplan 2 bedroom dengan gaya modern di Nusa Dua;;;;
1;2;;;Rp 1.100.000.000;Jalan Taman Pondok Indah Surabaya 60228 Indonesia Wiyung Surabaya;Jual Rumah Hitung Tanah Taman Pondok Indah Wiyung Dekat Royal Residence;;;;
3;5;;;Rp 5.500.000.000;Puri Bintaro Sektor 9 Bintaro Jaya Bintaro Tangerang Selatan;Dijual Cepat Rumah Rapi Siap Huni di Puri Bintaro Sektor 9 Bintaro Jaya;;;;
1;2;;;Rp 1.299.999.999;PERUMAHAN ROYAL RESIDENCE SURABAYA Wiyung Surabaya;(NEGO) RUMAH EXSLUSIVE KAWASAN BISNIS 2 LANTAI SURABAYA BARAT;;;;
1;3;;;Rp 548.100.000;Jl. Az-Zahra Gn Tugel Purwokerto Selatan Purwokerto Selatan Banyumas;Rumah bisa KPR DP 0 Angsuran mulai 2 Jutaan daerah Purwokerto Selatan;;;;
2;3;;;Rp 1.000.000.000;Sentul Bogor;Rumah MURAH 1M di SENTUL;;;;
1;2;;;Rp 450.000.000;Jl.Pendidikan Mangun Jaya Tambun Selatan Bekasi;Rumah Minimalis Harga Ekonomis;;;;
1;2;;;Rp 511.500.000;Gunung Sindur Bogor;rumah murah tanpa Dp dekat BSD cluster madani;;;;
4;4;;;Rp 5.200.000.000;puspita loka Bumi Serpong Damai Tangerang Selatan;Rumah 2 Lantai 4 Kamar Bangunan Mandiri Siap Huni di Puspita Loka M329;;;;
2;3;;;Rp 599.000.000;kauman selomartani Kalasan Sleman;Dijual Rumah Kavling Siap Bangun; tranquil; inspirative; good for WFH; walk to Mitra10 GatzuBar
4;4;;;Rp 2.750.000.000;Jagakarsa Jakarta Selatan;RUMAH CLUSTER JAGAKARSA PINGGIR JALAN UTAMA;;;;
2;5;;;Rp 2.100.000.000;Janur asrikelapa gading Kelapa Gading Barat Jakarta Utara;Rumah Nyaman di Kelapa Gading Jakarta Utara;;;;
5;6;;;Rp 3.500.000.000;Rappocini Makassar;Rumah besar diselatan Makassar dekat Kampus dan kota Sungguminasa;;;;
1;2;;;Rp 585.000.000;Jatiasih Bekasi;RUMAH 2 KAMAR TIDUR DI JATIASIH BEKASI;;;;
3;3;;;Rp 997.000.000;Lippo Cikarang selatan Lippo Cikarang Bekasi;Rumah Di Cikarang DP 0% 2 Lantai Bekasi Lippo Cikarang Selatan;5 Menit ke TOL;;;
1;2;;;Rp 130.000.000;Jalan Desa Babakan Bogor Kabupaten 16378 Indonesia Tenjo Bogor;Di jual rumah keren murah banget tanpa bi cehcking;;;;
2;2;;;Rp 689.000.000;Arcamanik Bandung;Rumah Baru Arcamanik dekat Ke Pusat Kota Bandung;;;;
4;5;;;Rp 8.900.000.000;cluster lakewood - navapark bsd - tangerang Bumi Serpong Damai Tangerang Selatan;rumah mewah;;;;
2;4;;;Rp 1.550.000.000;Wiyung Surabaya;RUMAH DIPUSAT KOTA SURABAYA;;;;
2;2;;;Rp 1.043.836.730;Bekasi Utara Bekasi;COCOK BUAT MILENIAL KPR DP 20 JUTA ALL IN RUMAH BEKASI TIPE ALLAMANDA;;;;
1;2;;;Rp 350.000.000;Cikarang Utara Bekasi;Beli Rumah Cluster Harga Terjangkau Hadiahnya Oke Dekat Jababeka.;;;;
2;2;;;Rp 755.000.000;Sepatan Timur Tangerang JABODETABEK Indonesia Sepatan Timur Tangerang;Rumah 2 Lantai Ready Stock Di Sepatan Tangerang; pamulang; sawangan;;
1;2;;;Rp 318.000.000;Tegalsari Trunuh Klaten Selatan Klaten Trunuh Klaten;Rumah 2 Kamar Tidur Lokasi Klaten;;;;
2;2;;;Rp 982.735.000;JL Raya Cissauk Lapan Cisauk Tangerang;DIJUAL RUMAH BARU MILLENIAL DEKAT BSD CITY;;;;
1;2;;;Rp 345.000.000;Bekasi;Rumah Komersil terbaik Lokasi Strategis dekat Summarecon Bekasi (prop1506);;;;
3;4;;;Rp 3.500.000.000;Jatisampurna Bekasi;Dijual Rumah 2 Lt Full Furnished;;;;
1;2;;;Rp 465.000.000;Gunung Sindur Bogor;CLUSTER GUNUNG SINDUR;;;;
1;2;;;Rp 455.000.000;Jalan Kolonel Masturi Cimahi Indonesia Bandung;Rumah Murah 1 Lantai 400jt di Lembang Bandung Barat;;;;
2;3;;;Rp 1.400.000.000;Griya cinere polsek cinere limo depok tol desari brigif Cinere Depok;Turun harga jual murah rumah komplek griya cinere limo depok jakarta;;;;
1;2;;;Rp 485.000.000;Cibubur Bekasi;Rumah cluster Exclusive Harga termurah di kawasan mewah Cibubur;;;;
1;2;;;Rp 1.870.000.000;Kota baru Parahyangan Padalarang Bandung;Rumah 2 kamar super keren; Jakarta Selatan;;;
5;6;;;Rp 28.500.000.000;Kebayoran Lama Jakarta Selatan;Rumah Cantik di Kebayoran Baru Jakarta Selatan;;;;
3;10;;;Rp 5.000.000.000;Tomang Jakarta Barat;(NE4265-HR) DIJUAL : RUMAH SEMI FURNISH BISA BUAT USAHA DI TOMANG;;;;
3;4;;;Rp 7.900.000.000;Jalan Veteran Raya Bintaro Jakarta Selatan Bintaro Jakarta Selatan;Rumah Veteran Bintaro dekat tol tanah kusir Jakarta Selatan;;;;
4;7;;;Rp 18.500.000.000;Jl tebet timur raya Tebet Timur Jakarta Selatan;Rumah 2 lantai di tebet dipinggir jalan strategis;;;;
2;3;;;Rp 1.400.000.000;Beji Depok;rumah cantik dikawasan strategis kota depok;;;;
2;3;;;Rp 1.050.000.000;Serpong Utara Tangerang Selatan;Dijual Rumah Cluster Dekat Stasiun Rawa Buntu;;;;
5;6;;;Rp 6.500.000.000;Jln. Labak indah VI Pura demak Denpasar Barat Denpasar;Dijual Tanah & Bangunan-Denpasar Barat;;;;
2;3;;;Rp 1.050.000.000;Serpong Tangerang Selatan;Dijual Rumah di Serpong dekat Toll;;;;
2;3;;;Rp 947.980.000;Jl. Raya Pertamina Kedung Jaya Babelan Bekasi Bekasi Utara Bekasi;Rumah Bekasi 2 Lantai Hanya 5 juta Tanpa Dp;Tropis Adem; SemiFurnish;;
1;2;;;Rp 608.943.825;Jl. Raya Pertamina Kedung Jaya Babelan Bekasi Bekasi Utara Bekasi;Rumah Dijual di Bekasi Free Dp dan Free Biaya Plus Canopy;;;;
4;4;;;Rp 6.000.000.000;Duren Sawit Jakarta Timur;Rumah modern tropis dengan lift lokasi strategis di duren sawit;;;;
3;2;;;Rp 486.200.000;Jalan Percetakan Negara 4B Jakarta Pusat 10560 Indonesia Cempaka Putih Jakarta Pusat;Dijual Rumah Mewah Minimalis Modern di Jl Percetakan Negara Jakpus;;;;
2;1;;;Rp 150.500.000;Jl. Proklamasi Tanjung pura Kalangsari Karawang Barat Karawang;Subsidi 2;;;;
2;3;;;Rp 995.000.000;gg.pepaya prujakan Ngaglik Sleman;300 m dari Jl. Kaliurang Km. 8 - Rumah Baru Renov - Tanpa Perantara;;;;
2;3;;;Rp 999.000.000;Komplek benda Pamulang Serpong Tangerang Selatan;SUPER MURAH Hunian Mewah Bergengsi Selangkah Ke Kantor Walikota dan Tol;;;;
2;3;;;Rp 500.000.000;Gunung Sindur Bogor;GRIYA AMALIA 2;;;;
2;3;;;Rp 999.000.000;Komplek benda pamulang Serpong Tangerang Selatan;BRAND NEW - Rumah Baru 2 Lantai Super Mewah TERMURAH LT100 Style EROPA;;;;
1;2;;;Rp 142.500.000;Jl. Dukuh Sinjang Babakangebang Babakan Cirebon Babakan Cirebon;Rumah Subsidi Cirebon Tipe 36/72 Bebas Banjir Strategis Babakan Gebang Ciledug;;;;
2;2;;;Rp 481.411.875;Jl Kayumanis 8 Matraman Jakarta Timur Kayu Manis Jakarta Timur;DiJual Rumah Mewah Minimalis Modern 2 lantai di Jl Kayumanis JakTim; Rumah Mewah Siap Huni;;;
2;3;;;Rp 999.000.000;Komplek benda Pamulang Serpong Tangerang Selatan;WAJIB BOOKING .! Promo Cash LT100 Rumah Mewah Terbaru gaya EROPA ( TERMURAH );;;;
2;2;;;Rp 490.400.000;Jalan Taruna 3 Jakarta Pusat 10650 Indonesia Kemayoran Jakarta Pusat;DIJUAL RUMAH MEWAH MINIMALIS MODERN 2 LANTAI DI SERDANG KEMAYORAN;;;;
3;4;;;Rp 1.700.000.000;Jalan Langga Raya Lenteng Agung Jakarta selatan Lenteng Agung Jakarta Selatan;Rumah 2 lantai Strategis Bebas Banjir Daerah Lenteng Agung;;;;
2;4;;;Rp 1.799.000.000;Sokaraja Banyumas;Jual BU rumah mewah dekat pasar Sokaraja Purwokerto;;;;
4;5;;;Rp 2.330.000.000;jl.kaliserayu samping hotel ibis Padang Utara Padang;Rumah Pusat Kota Padang;;;;
1;2;;;Rp 380.000.000;Jl.Pahlawan blok C no.2 Perum Balearjosari Malang Balearjosari Malang;Rumah Murah Siap Huni;;;;
2;3;;;Rp 599.999.000;Serpong Tangerang Selatan;ANTOPHILA RESIDENCE;;;;
2;3;;;Rp 899.000.000;Buahbatu (Margacinta) Bandung;Dijual cepat Hunian baru di margacinta 3 kamar siap huni;;;;
;;;;Rp 1.000.000.000;Jl. Raya Lingkar Timur Candi Sidoarjo;Rumah Baru Elegan Modern Minimalis;;;;
;1;;;Rp 168.000.000;Jl.raya tanggul satria jaya gabus Babelan Bekasi;16;;;;
;1;;;Rp 1.375.000.000;JL Tanah Lot Raya Cinere Depok;Cluster Cinere Parkview Blok F3 dan f16 free biaya biaya periode 2023;;;;
;32;;;Rp 650.000.000;ciwastra urban living bandung Ciwastra Bandung;rumah murah tengah kota bandung cluster ciwastra urban living grand sumarecon;;;;
;23;;;Rp 385.000.000;villa bukit cileunyi jl bkkbn cimekar cileunyi bandung jawa barat Cileunyi Bandung;rumah mewah ready stock indent villa bukit cileunyi bkkbn cimekar bandung;;;;
;2;;;Rp 995.000.000;Jakal Km 12 Wonosalam Klidon Sleman Yogyakarta Ngaglik Sleman;Dijual Rumah Mewah Type 110/195m2 di Jakal Sleman Yogyakarta Aranya Park 995juta; SHM dan PBG ready siap AJB bisa KPR;;;
;2;;;Rp 2.550.000.000;Jagakarsa Jakarta Selatan;RUMAH MEWAH DIJUAL DI JAKARTA SELATAN DEKAT MALL CILANDAK;;;;
;2;;;Rp 1.975.000.000;Lenteng Agung Jakarta Selatan;RUMAH MURAH DI JAKARTA SELATAN SIAP HUNI DEKAT STASIUN KRL JAGAKARSA;;;;
;44;;;Rp 365.000.000;padasuka jatihandap asri alam permai jatihandap bandung Jatihandap Bandung;padasuka rumah murah jatihandap asri ahmad land cicaheum dkt arcamanik antapani; HANYA 10 JUTA ALL IN;;;
;2;;;Rp 1.687.500.000;maguwo Maguwoharjo Sleman;Dijual Rumah Mewah Pintu Tol Stadion Maguwo Yogyakarta Aranya Townhouse;;;;
;2;;;Rp 886.000.000;JAKAL KM 12 SLEMAN YOGYAKARYTA Ngaglik Sleman;Cluster Premium ;;;;
;2;;;Rp 729.000.000;Jalan Godean Km 8 Sidokerto Godean Sleman;Jual rumah siap bangun sidokerto Godean dekat SMA N 1 Godean Sleman;;;;
;40;;;Rp 689.000.000;Bandung Selatan Sabilulungan Tol Soreang Soreang Bandung;Cluster Rumah Mewah Vigentta Soreang;;;;
;;;;Rp 466.000.000;jl yusuf bauti Tamarunang Gowa;perumahaan citra garden;;;;
;2;;;Rp 886.000.000;JAKAL KM 12 Ngaglik Sleman;Perumahan Mewah View Pegunungan ;Bebas Banjir;;;
;1;;;Rp 999.350.000;DMarco Diamond Cluster Casablanca Cilodong Depok;Mau Rumah Seken dipinggir Jalan Raya Bogor ?;;;;
;5;;;Rp 13.000.000.000;Jatiasih Bekasi;DI JUAL RUMAH DI JATIASIH LOKASI STRATEGIS PINGGIR JALAN UTAMA;;;;
;2;;;Rp 415.000.000;Candi Sidoarjo;VICTORYLAND SIDOARJO ( Free biaya kecuali Asuransi );;;;
;2;;;Rp 425.000.000;Seyegan Sleman;Rumah Kavling Tepi jalan Aspal di Sleman;;;;
;2;;;Rp 611.000.000;Grand Dahlia Cluster Jatimulya Cilodong Depok Cilodong Depok;Dijual Rumah di GDC Depok; Depok(Terbilang Murah)..;;;
;3;;;Rp 1.255.437.600;Jl. Griya Bintaro Estate Kel Sawah Kec. Ciputat Kota Tangerang Selatan Banten Bintaro Tangerang Selatan;Rumah Mewah di Bintaro;;;;
;2;;;Rp 372.700.000;Jl. Pemuda Raya Sasak Panjang Tajur Halang Bogor Tajur Bogor;Rumah Rp 300 Jtan di Bogor;;;;
;3;;;Rp 1.255.437.600;Jl. Griya Bintaro Estate Kel Sawah Kec. Ciputat Kota Tangerang Selatan Banten Bintaro Tangerang Selatan;Rumah mewah 2 lt lingkungan sudah jadi;;;;
;2;;;Rp 372.700.000;Jl. Pemuda Raya Sasak Panjang Tajur Halang Bogor Citayam Depok;GDC Tajur Halang;;;;
;3;;;Rp 1.425.760.000;Jl. Griya Bintaro Estate Kel Sawah Kec. Ciputat Kota Tangerang Selatan Banten Tangerang Selatan;Griya Bintaro Estate;;;;
;3;;;Rp 990.000.000;Candi Sidoarjo;RUMAH AMARTHA TANPA DP;;;;
;4;;;Rp 2.000.000.000;Jl.ahmad yani no.2 aemuri tetandara Ende Flores NTT Tetandara Ende;Di JUAL TANAH beserta Bangunan nya ( rumah & kios besar ) Ende Flores NTT;;;;
;3;;;Rp 1.830.000.000;Lengkong Kulon Pagedangan Tangerang;Zena Co Living Tipe 103/35 – Zena Exclusive Shared House;;;;
;4;;;Rp 1.300.000.000;Maguwoharjo Sleman;Jual Rumah Murah di Tengah Kota Jogjakarta; Siap Huni di Perumahan Sedayu Bantul; SHM IMB Lengkap;;
;3;;;Rp 6.000.000.000;Surabaya;Dijual rumah murah surabaya;;;;
;3;;;Rp 755.000.000;Sawangan Depok;Dijual Rumah Siap Huni Tanpa DP Dekat Toll Sawangan;;;;
;2;;;Rp 310.000.000;Pasar Minggu Jakarta Selatan;JUAL RUMAH BARU MURAH DAN STRATEGIS;;;;
;2;;;Rp 260.000.000;Sagulung Batam;Di Jual rumah Lengkap dengan toko untuk buka usaha;;;;
;2;;;Rp 195.000.000;Garut;Rumah Dijual Harga subsidi Type 36/64 lokasi Lw Goong Garut;;;;
;3;;;Rp 390.000.000;Depok Sleman;INVESTASI CERDAS SAMBIL NUNGGU ANAK LULUS SEKOLAH.;;;;
;2;;;Rp 431.200.000;jalan taruna kemayoran jakarta pusat Kemayoran Jakarta Pusat;dijual hunian murah nyaman dan asri taruna kemayoran jakarta pusat;;;;
;3;;;Rp 450.000.000;Gunung Sindur Bogor;Dijual Rumah Termurah Luas Terawat Siap HUNI;;;;
;9;;;Rp 751.000.000;Pekauman Tegal;Jual Rumah & Kosan Kota Tegal 9 Kamar dan terisi penuh;;;;
;2;;;Rp 490.765.000;Jl. Raya Gardu Rangkapan Jaya Kec. Pancoran Mas Kota Depok Jawa Barat 16435 Pancoran Mas Depok;Pendhapa Village Tipe 40;;;;
;2;;;Rp 444.000.000;Kemayoran Bangkalan;Rumah di jual 2 lntai sejuk dan asri star 502 jta - 552 jta kmayoran;;;;
;2;;;Rp 486.000.000;Rawa Sari Jakarta Pusat;rumah murah meriah 2 lantai percetakan degara Jakarta pusat;;;;
;3;;;Rp 850.000.000;Gunung Anyar Tambak Surabaya;Dijual Rumah Baru 2 Lantai Lokasi Tirta Agung tahap 2 Gunung Anyar;;;;
;2;;;Rp 499.000.000;Cempaka Baru Jakarta Pusat;Rumah 2 lantai asri nan sejuk model minimalis sumur batu Jakarta pusat;;;;
;2;;;Rp 1.864.299.000;Jl. BSD Raya Pusat Cicalengka Kec. Pagedangan Kabupaten Tangerang Banten 15336 Pagedangan Tangerang;BSD City - The Ostara Tipe Lumina 5;;;;
;2;;75;Rp 1.350.000.000;Karang Tengah Tangerang;Rumah Baru di Tengah Kota;;;;
;5;;;Rp 4.150.000.000;Jln. Sawah Lunto No.34A Manggarai Jakarta Selatan SetiaBudi Jakarta Selatan;Rumah Mewah 3lt Setiabudi Menteng Jakarta Selatan Kota Jakarta;;;;
;2;;;Rp 562.000.000;Sawah Besar Jakarta Pusat;Rumah di jual 2 lntai asri nan sejuk taman sari 3 Jakarta pusat;;;;
;2;;;Rp 339.000.000;Trunuh Klaten;kavling siap bangun termurah terlaris terbain di kota klaten;;;;
;4;;;Rp 1.120.000.000;Depok;Rumah Minimalis Depok di Grand Depok City;;;;
;6;;;Rp 5.900.000.000;Sentul City Bogor;Rumah di jual Sentul city Sierra Madre bogor;;;;
;2;;;Rp 2.100.000.000;Jalan Hang Lekiu Nongsa Batam;The Nove Tipe Townhouse – Nuvasa Bay;;;;
;3;;;Rp 1.240.000.000;Batam Kota Batam;BUKIT INDAH SUKAJADI;;;;
;2;;;Rp 400.000.000;Parung Panjang Bogor;Dijual cepat rumah Forest Hill;;;;
;3;;;Rp 360.000.000;Marpoyan Damai Pekanbaru;Dijual LB 170 / LT 108 (Cash/Kredit);;;;
;4;;;Rp 900.000.000;Jelupang Tangerang;Rumah di jual 2 lntai murah meriah di jelupang Tanggerang;;;;
;3;;;Rp 1.506.000.000;Rawamangun Jakarta Timur;Rumah mewah 2 lntai minimalis modern jl pemuda Rwamngun Jak tim;;;;
;4;;;Rp 1.030.000.000;Ngemplak Sleman;Dijual Rumah Hook di Umbulmartani;;;;
;4;;201;Rp 6.500.000.000;Royal Gading Mansion Kelapa Gading Jakarta Utara;Rumah 2 Lt; Villa Jasmine 3;;;
;6;;;Rp 807.000.000;Jl. Raya Cikarang - Cibarusah Sukadami Cikarang Selatan Bekasi;Tipe Rukos - Cifest;;;;
;2;;84;Rp 450.000.000;Buduran Sidoarjo;The Sun Villages tahap 2;2M kosongan;;;
;4;;;Rp 2.039.000.000;Palmerah Jakarta Barat;Rumah di jual 2 lantai mewah sejuk nan asri Palmerah jak bar;;;;
;4;;;Rp 2.450.000.000;Ciputat Tangerang Selatan;Dijual rumah Cireundeu;;;;
;4;;;Rp 5.500.000.000;Pantai Indah Kapuk Jakarta Utara;rumah cluster mewah nan cantik PIK 2 Tangerang;;;;
;4;;;Rp 3.341.546.390;Jl. Kampung Pekopen No.47 RT.4/RW.5 Lambangjaya Kec. Tambun Sel. Kabupaten Bekasi Jawa Barat 17510 Tambun Selatan Bekasi;Grand Wisata Water Terrace II Flawless Living Tipe Lagoon 143;;;;
;1;;;Rp 1.560.000.000;Lengkong Kulon Pagedangan Tangerang;Zena Co Living Tipe 71/35 – Zena Exclusive Shared House;;;;
;2;;;Kontak agen untuk harga;Perumahan Permata Mutiara Maja Maja Kabupaten Lebak Banten 42381 Lebak;Permata Mutiara Maja Tipe Lotus;;;;
;2;;;Rp 747.000.000;Gunung Sindur Bogor;Golden Hills Tipe Cortona; ngawen; klaten 1486m;;
;4;;;Rp 2.300.000.000;Komplek Dermaga Indah III No 8 Duren Sawit Jakarta Timur Jakarta Timur;Jual Cepat Rumah Mewah 2 Lantai Lokasi Strategis Di Komplek Dermaga Indah III;;;;
;23;;;Rp 800.000.000;Cinity PREMIER LAKE RESIDENCE CIKARANG Jl. Gatot Subroto Cikarang Bekasi Jawa Barat Cikarang Bekasi;Dijual Rumah di Cikarang Harga Launching-PREMIER LAKE RESIDENCE Cinity;;;;
;5;;;Rp 1.950.000.000;Sukolilo Surabaya;DIJUAL RUMAH BARU DI SURABAYA TIMUR;;;;
;2;;;Rp 1.795.000.000;Pagedangan Tangerang;Rumah dijual Malibu Village (Full Furnished) Gading Serpong - BSD; Lokasi Strategis di Pusat Kota Depok;;;
;3;;96;Rp 3.112.437.000;Cibubur Bekasi;CitraGran Cibubur Rumah siap huni;;;;
;3;;100;Rp 1.150.000.000;Depok Depok;Hunian Mewah Dengan Model Minimalist Depok;;;;
;2;;60;Rp 375.000.000;Babelan Bekasi;Rumah minimalis Dp 0%;;;;
;3;;;Rp 999.000.000;Cemorokandang Malang;Villa Seminyak Lokasi Nol KM;;;;
;2;;36;Rp 240.000.000;Bekasi;RUMAH DI SETU CICILAN 2JTAN DEKAT DENGAN MM 2100;6 Dekat TOL & KRL Cibubur Termurah 700jutaan;;;
1;2;49;;Rp 700.000.000;Ciputat Tangerang Selatan;Rumah dijual di Ciputat;;;;
3;3;125;;Rp 2.178.000.000;Ilir Timur II Palembang;Rumah Mewah Townhouse daerah celentang patal;;;;
1;2;70;;Rp 625.000.000;Alang-alang Lebar Palembang;Perumahan daerah pakjo;;;;
3;3;160;;Rp 5.000.000.000;Perumahan Inter Kota Indah B.2 No. 27 Rt.009/007 Kel. Duri Kosambi Kec. Cengkareng Jakarta Barat 11750 Cengkareng Barat Jakarta Barat;Rumah Hook Bebas Banjir di Jakarta Barat;;;;
3;2;197;;Rp 2.300.000.000;Serpong Tangerang Selatan;rumah siap huni Serpong Tangerang selatan;;;;
;3;185;;Rp 2.500.000.000;Karangtempel Semarang;Dijual Rumah Bagus;;;;
;5;262;;Rp 2.700.000.000;Nyomplong Sukabumi;Jual 1 Rumah + 4 Toko;;;;
;2;36;;Rp 695.640.000;hasyim azhari cipondoh Cipondoh Tangerang;perumahan di tangerang cipondoh; Nyaman & Cocok Untuk Usaha;;;
;2;40;;Rp 600.000.000;Ciputat Tangerang Selatan Ciputat Tangerang Selatan;Dijual Rumah Cluster Ciputat Sakeena Residence;;;;
;4;120;;Rp 950.000.000;Cilodong Depok;Full furnished;;;;
;2;43;;Rp 661.000.000;Jalan Siliwangi Tangerang Selatan 15435 Indonesia Pamulang Tangerang Selatan;jual rumah tanpa indent sekitar BSD Tangerang selatan; taman luas; pemandangan gunung dan pepohonan.;;
;2;55;;Rp 435.000.000;Bojongsari Depok;jual rumah murah di pamulang;;;;
;1;21;;Rp 1.100.000.000;Tanah Sareal Bogor;jual rumah dengan tanah luas T21/340 di perumahan nyaman dan aman;;;;
;3;110;;Rp 750.000.000;Bojongsari Depok;jual rumah cantik di pinggir jakarta;;;;
;2;42;;Rp 548.000.000;Tiban Batam;Rumah Ready Stock Tiban;;;;
;3;60;;Rp 300.000.000;Kedaton Bandar Lampung;rumah tanpa bank way kandis kamar 3;;;;
;3;45;;Rp 714.500.000;Beji Batu;Jual Villa di Batu Malang Dekat BNS dan Jatim Park 2;;;;
;2;48;;Rp 900.000.000;Ranca Bungur Bogor;Rumah siap huni & lahan luas;;;;
;5;220;;Rp 1.100.000.000;Mertoyudan Magelang;RUKO ESTETIK Harga Murah ( 3RUKO;;;;
;3;56.5;;Rp 817.250.000;Beji Batu;Villa Dijual di Batu Malang;;;;
;2;60;;Rp 675.000.000;Karang Tengah Tangerang;Rumah modern mini malalis clasik;;;;
;4;111;;Rp 1.901.500.000;Curug Tangerang;Rumah Gardenia 2 Lantai;;;;
;2;60;;Rp 675.000.000;Karang Tengah Tangerang;Rumah idaman kaula muda;;;;
;2;55;;Rp 300.000.000;Tebing Tinggi Tebing Tinggi;Rumah di jual di tebing tinggi;;;;
;3;50;;Rp 940.000.000;Ciracas Jakarta Timur;DIJUAL RUMAH CLUSTER 2 LANTAI LOKASI STRATEGIS DICIRACAS JAKARTA TIMUR;;;;
;2;65;;Rp 470.000.000;Tlogosari Kulon Semarang;Rumah Baru dan Bagus;;;;
;3;55;;Rp 900.000.000;Sawangan Depok;Rumah Minimalis Modern 2 lantai Lokasi Pinggir Jalan Raya;;;;
;3;70;;Rp 625.000.000;Pekanbaru Kota Pekanbaru;Rumah rasa villa;;;;
;5;400;;Rp 8.200.000.000;Tanjung Barat Jakarta Selatan;Rumah Tanjung Mas Raya;;;;
;2;25;;Rp 158.000.000;Dlanggu Mojokerto;GRAHA AMEENA MOJOKERTO;;;;
;3;75;;Rp 1.500.000.000;Bintaro Tangerang Selatan;Rumah di Bintaro sektor 9 SHM Jual Cepat. 1986;;;;
;3;120;;Rp 5.500.000.000;Mampang Prapatan Jakarta Selatan;Dijual Rumah Strategis di Selatan Jakarta;;;;
;2;48;;Rp 420.000.000;Jl Poros Panaikang Patontongan Moncongloe Maros Moncongloe Maros;Griya Savana Land;Tanpa Dp; Kemang Bogor Angsuran 2 JT an;;
;2;36;;Rp 395.000.000;Prambanan Sleman;Prambanan Forest;;;;
;3;68;;Rp 963.000.000;Karawaci Tangerang;DIJUAL RUMAH STRATEGIS DI LIPPO KARAWACI;;;;
;5;262;;Rp 2.700.000.000;Warudoyong Sukabumi;Dijual Cepat 1 Rumah + 4 Toko;;;;
;3;70;;Rp 635.000.000;Bojongsari Depok;di jual rumah di Pamulang; Bintaro sektor 5;;;
;2;46;;Rp 715.000.000;Jl.H.Jamat Rais No.64 Buaran Kec.Serpong Kota Tangerang Selatan - Banten Serpong Tangerang Selatan;Dijual Rumah Nyaman Nuansa Bali Asri 26 Unit Di Serpong;;;;
;3;60;;Rp 850.000.000;Gunung Sindur Bogor;perumahan cantik rawakalong gunung Sindur;;;;
