kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
;10;;;Rp 11.500.000.000;Fastrespon WA : 0813 9127 8889 / 0823 2337 4139 Depok Sleman;Dijual Cepat Kost Exclusive 41kt+ Caffe dkt Hartono Mall;;;;
;2;;;Rp 150.500.000;Jalan Parakan Salak / Parungkuda-Pakuwon Parungkuda Sukabumi Jawa Barat. Parung Kuda Sukabumi;DIJUAL RUMAH SUBSIDI Perumahan Pusaka Bumi Parungkuda;8Jutaan;;;
;2;;;Rp 355.000.000;Prambanan Sleman;RUMAH MINIMALIS MODERN DEKAT JALAN JOGJA SOLO;;;;
;2;;;Rp 150.000.000;Gedong Tataan Pesawaran;Rumah Subsidi 2 Kamar Dekat Kemiling Bandar Lampung;;;;
;3;;;Rp 3.200.000.000;Jagakarsa Jakarta Selatan;Dijual Rumah Mewah Cluster Pejaten Pasar Minggu Jakarta Selatan;;;;
;3;;;Rp 1.478.200.000;Jalan Cempaka Putih Barat III Jakarta Pusat 10520 Indonesia Cempaka Putih Jakarta Pusat;DiJual Rumah Mewah Minimalis Modern 2 lantai di Cempaka Putih Barat 3;;;;
;4;;;Rp 12.500.000.000;Ubud Gianyar;Villa siap huni di ubud;;;;
;2;;;Rp 968.000.000;Jalan Raya Sawangan Depok Indonesia Sawangan Depok;RUMAH PREMIUM SIAP HUNI DEKAT TOL DESARI DAN STASIUN DEPOK;;;;
;3;;;Rp 1.550.000.000;Pantai Mentari Blok Z - 1A Kenjeran Surabaya;Rumah Baru Gres American Minimalis di Pantai Mentari; cocok untuk ruko;;;
;4;;;Rp 3.900.000.000;Pasar Minggu Jakarta Selatan;Rumah Lux di kalibata pasar minggu Jakarta Selatan;;;;
;4;;;Rp 1.800.000.000;Jalan Kelapa Tiga Jakarta Selatan Indonesia Jagakarsa Jakarta Selatan;CLUSTER MEWAH PINGGIR JALAN UTAMA; Aman Nyaman Dekat Pusat Kota;;;
;5;;;Rp 4.500.000.000;Jalan Paso Jakarta Selatan 12620 Indonesia Jagakarsa Jakarta Selatan;RUMAH MEWAH PRIVATE POOL DALAM CLUSTER;;;;
;2;;;Rp 369.993.000;JALAN RAYA TAJUR CITEUREUP-SENTUL BOGOR. GREEN SEMESTA CITY. Sentul Bogor;DIJUAL RUMAH IMPIAN DILOKASI STRATEGIS BEBAS BANJIR HARGA TERJANGKAU;5; juta;;
;4;;;Rp 1.987.500.000;Jalan T. B. Simatupang Jakarta Selatan 12610 Indonesia Cilandak Timur Jakarta Selatan;RUMAH MEWAH CILANDAK TIMUR;;;;
;5;;;Rp 4.800.000.000;Jalan Paso Jakarta Selatan 12620 Indonesia Jagakarsa Jakarta Selatan;RUMAH MURAH MEWAH REDI SIAP HUNI JAGAKARSA; mushola dll;;;
;2;;;Rp 610.000.000;Jalan Raya Dago Bogor Kabupaten 16369 Indonesia Parung Panjang Bogor;De' Lora Parung Panjang. Hunian baru nuansa resort. Dekat Stasiun;;;;
;2;;;Rp 1.105.720.000;3 Jalan Cipinang Kebembem Jakarta Timur 13230 Indonesia Cipinang Jakarta Timur;DiJual Rumah Mewah Minimalis Modern 2 lantai di Jl Cipinang Kebembem 3;;;;
;6;;;Rp 3.500.000.000;Jalan Tanimbar Dauh Puri Kelod Denpasar;RUMAH BESAR BANGUNAN LAMA DEKAT DIPONEGORO DENPASAR;cuma 20 menitan dr stasiun cikarang;;;
;3;;;Rp 908.050.000;Jl Lio 2 Pulogadung Jakarta Timur Pulo Gadung Jakarta Timur;DiJual Rumah Mewah Minimalis Modern 2 lantai di Jl Lio Pulogadung;;;;
;4;;;Rp 1.014.860.000;Cipinang Jakarta Timur;dijual rumah dekat mal basura;;;;
;3;;;Rp 1.075.000.000;Bolon Colomadu Karanganyar;Rumah Bagus Siap Huni di Colomadu Karanganyar (EL);;;;
;2;;;Rp 790.000.000;Grand Mahkota Blok A3 No 1 Babelan Bekasi;DIJUAL MURAH RUMAH HOOK CLUSTER GRAND MAHKOTA 1;;;;
;5;;;Rp 5.000.000.000;Jalan Haji Ramli Jakarta Selatan 12870 Indonesia Menteng Dalam Jakarta Selatan;Rumah Tebet Cocok Untuk Kantor & Usaha;;;;
;2;;;Rp 790.000.000;Babelan Bekasi;DIJUAL MURAH RUMAH HOOK CLUSTER GRAND MAHKOTA 1 ; cajuputi de park di bsd; kawasan mewah harga nego;;
;2;;;Rp 800.000.000;Jalan Boulevard Gading Serpong Tangerang Selatan 15335 Indonesia Gading Serpong Tangerang;Rumah Minimalis;;;;
;2;;;Rp 168.000.000;Jl. Kedaung Desa Karang Anyar Karangbahagia Bekasi;RUMAH SUBSIDI CIKARANG BEKASI | MADANIA RESIDENCE;;;;
;2;;;Rp 590.000.000;Muara Beres Sukahati Cibinong Bogor;Rumah Tanpa DP Cibinong Bogor;;;;
;5;;;Rp 2.650.000.000;Tegalharjo Jebres Solo;Rumah Bagus 2 Lantai Strategis Dekat Pusat Bisnis di Jebres Surakarta (AB-AD);;;;
;4;;;Rp 3.600.000.000;Jalan Haji Saaba Raya & Jalan Meruya Selatan Jakarta Barat 11650 Indonesia Meruya Selatan Jakarta Barat;Rumah Mewah Siap Huni Konsep Classic Lokasi Strategis di Meruya Jakbar;;;;
;7;;;Rp 3.000.000.000;Fastrespon WA : 0813 9127 8889 / 0823 2337 4139 Ngaglik Sleman;Rumah Cantik istimewa 2lt Condongcatur utara Terminal;;;;
;3;;;Rp 1.900.000.000;Graha Surabaya;Rumah Surabaya Barat Lebar 7 Dian Istana area Graha Famili 5 menit Tol Satelit;;;;
;3;;;Rp 1.890.000.000;Jl. Usaha Cawang Jakarta Timur Cawang Jakarta Timur;Hunian Mewah 3 Lantai Di Cluster Cawang Residence 1 Unit Terakhir SIAP HUNI;;;;
;3;;;Rp 621.000.000;Jatisampurna Bekasi;RUMAH EKSLUSIVE 2 LANTAI DI CLUSTER SILATURAHIM RESIDENCE;;;;
;3;;;Rp 2.200.000.000;Kompleks Perumahan Nirwana Eksekutif Surabaya;*Dijual Rumah Baru Gres Minimalis di Nirwana Eksekutif;;;;
;6;;;Rp 4.700.000.000;Fastrespon WA : 0813 9127 8889 / 0823 2337 4139 Ngaglik Sleman;Dijual Rumah Homestay Mewah + Kolam Renang dkt UGM;;;;
2;3;;;Rp 1.542.000.000;Jl. Jalur Lingkaran Barat Tallasa Boulevard Kel. Parangloe Kec. Tamalanrea Makassar Tamalanrea Makassar;TIPE TERBARU CITRALAND TALLASA CITY MAKASSAR TYPE TUSCANY;;;;
2;3;;;Rp 4.300.000.000;Darmo Surabaya;Jual Cepat Rumah Full Furnish Darmo Baru LT 395;;;;
