channel name;channel url;subscriber;language
@user-bh8gz5jr9f;https://www.youtube.com/@user-bh8gz5jr9f;62,1K ;russian
@user-zn2hr5eg5g;https://www.youtube.com/@user-zn2hr5eg5g;64K ;russian
@Naritsa;https://www.youtube.com/@Naritsa;650K ;russian
@ElbrusPCPlay;https://www.youtube.com/@ElbrusPCPlay;7,22K ;russian
@Katya_life;https://www.youtube.com/@Katya_life;7,28K ;russian
@zerofpsstreams;https://www.youtube.com/@zerofpsstreams;7,46K ;russian
@user-rv6di4ff9n;https://www.youtube.com/@user-rv6di4ff9n;7,53K ;russian
@user-bq4ri5tb2u;https://www.youtube.com/@user-bq4ri5tb2u;7,71K ;russian
@user-tl8kf2zp5x;https://www.youtube.com/@user-tl8kf2zp5x;7,77K ;russian
@CarambaPlayOff;https://www.youtube.com/@CarambaPlayOff;7,9K ;russian
@GamesVideosRussian;https://www.youtube.com/@GamesVideosRussian;763K ;russian
@user-ni9wb1xb2d;https://www.youtube.com/@user-ni9wb1xb2d;77,4K ;russian
@DuchessOffGames;https://www.youtube.com/@DuchessOffGames;781K ;russian
@tabadahi;https://www.youtube.com/@tabadahi;8,15K ;russian
@yagamesdev;https://www.youtube.com/@yagamesdev;8,18K ;russian
@user-pc1km6mb7m;https://www.youtube.com/@user-pc1km6mb7m;8,69K ;russian
@mirnastolnyhigr;https://www.youtube.com/@mirnastolnyhigr;8,7K ;russian
@user-ww6bw6br6c;https://www.youtube.com/@user-ww6bw6br6c;8,92K ;russian
@GameGenre;https://www.youtube.com/@GameGenre;8,93K ;russian
@all_games_of_navi;https://www.youtube.com/@all_games_of_navi;8,98K ;russian
@IGOREK9805;https://www.youtube.com/@IGOREK9805;81,2K ;russian
@twodiced;https://www.youtube.com/@twodiced;86K ;russian
@user-hh8rl1sh1q;https://www.youtube.com/@user-hh8rl1sh1q;9,07K ;russian
@Digital_Arts_University;https://www.youtube.com/@Digital_Arts_University;9,25K ;russian
@DucatChannel21;https://www.youtube.com/@DucatChannel21;9,27K ;russian
@user-td7tk5qc1l;https://www.youtube.com/@user-td7tk5qc1l;9,2K ;russian
@games-drone;https://www.youtube.com/@games-drone;9,31K ;russian
@krabaka;https://www.youtube.com/@krabaka;9,52K ;russian
@gameROOSH;https://www.youtube.com/@gameROOSH;9,78K ;russian
@user-ivan_gormon;https://www.youtube.com/@user-ivan_gormon;9,95K ;russian
@BestGamesV4;https://www.youtube.com/@BestGamesV4;9,96K ;russian
@busterplaying;https://www.youtube.com/@busterplaying;936K ;russian
@SvetlanaSh1ne;https://www.youtube.com/@SvetlanaSh1ne;94,4K ;russian
@3310agent;https://www.youtube.com/@3310agent;999K ;russian
