channel name;channel url;subscribers;language;;;;
@Yori_games;https://www.youtube.com/@Yori_games;8,95K ;korean;;;;
@sage_archive;https://www.youtube.com/@sage_archive;8,96K ;korean;;;;
@gsbg;https://www.youtube.com/@gsbg;822K ;korean;;;;
@sutak_istp;https://www.youtube.com/@sutak_istp;824K ;korean;;;;
@MagicPark-game;https://www.youtube.com/@MagicPark-game;85,2K ;korean;;;;
@ChokoboGame;https://www.youtube.com/@ChokoboGame;88,3K ;korean;;;;
@ahtvgame;https://www.youtube.com/@ahtvgame;88K ;korean;;;;
@HYEONTUBE2628;https://www.youtube.com/@HYEONTUBE2628;9,04K ;korean;;;;
@ckgame9393;https://www.youtube.com/@ckgame9393;9,27K ;korean;;;;
@RobbieYoon;https://www.youtube.com/@RobbieYoon;9,38K ;korean;;;;
@GameFlix95;https://www.youtube.com/@GameFlix95;9,66K ;korean;;;;
@Sanji000;https://www.youtube.com/@Sanji000;90,1K ;korean;;;;s
@UBWGAME;https://www.youtube.com/@UBWGAME;90,5K ;korean;;;;
@game_forty;https://www.youtube.com/@game_forty;97,9K ;korean;;;;
