channel name;channel url;subsscribers;language
@user-zu3rc2ch7c;https://www.youtube.com/@user-zu3rc2ch7c;380K ;japanese
@aruharunohi;https://www.youtube.com/@aruharunohi;37K ;japanese
@Game-Fushigi;https://www.youtube.com/@Game-Fushigi;37,2K ;japanese
@naroyasan_game;https://www.youtube.com/@naroyasan_game;36K ;japanese
@ariyoshieeeee;https://www.youtube.com/@ariyoshieeeee;364K ;japanese
@appmedia-;https://www.youtube.com/@appmedia-;36,9K ;japanese
@kumap;https://www.youtube.com/@kumap;36,8K ;japanese
@nemyu6.17;https://www.youtube.com/@nemyu6.17;36,4K ;japanese
@YAMADA_ch_ndm;https://www.youtube.com/@YAMADA_ch_ndm;358K ;japanese
@QKgameknack;https://www.youtube.com/@QKgameknack;357K ;japanese
@gomaki_guild;https://www.youtube.com/@gomaki_guild;355K ;japanese
@user-hs6kg1yr7s;https://www.youtube.com/@user-hs6kg1yr7s;354K ;japanese
@kiriyagames;https://www.youtube.com/@kiriyagames;35,9K ;japanese
@neonCHsecond;https://www.youtube.com/@neonCHsecond;35,5K ;japanese
@MrHarukitchen;https://www.youtube.com/@MrHarukitchen;35,4K ;japanese
@sasasakikiki333;https://www.youtube.com/@sasasakikiki333;34,9K ;japanese
@user-up6wr6qn3n;https://www.youtube.com/@user-up6wr6qn3n;34,7K ;japanese
@DioandIgy;https://www.youtube.com/@DioandIgy;34,4K ;japanese
@SetsuGame;https://www.youtube.com/@SetsuGame;34,3K ;japanese
@kaosuyamige;https://www.youtube.com/@kaosuyamige;34,3K ;japanese
@ikezakigame;https://www.youtube.com/@ikezakigame;33K ;japanese
@MSSP;https://www.youtube.com/@MSSP;331K ;japanese
@user-kz9bc5vg9u;https://www.youtube.com/@user-kz9bc5vg9u;33,4K ;japanese
@yuna_game_;https://www.youtube.com/@yuna_game_;325K ;japanese
@rurushi0711;https://www.youtube.com/@rurushi0711;32,8K ;japanese
@haru10;https://www.youtube.com/@haru10;32,6K ;japanese
@GameReview_Riku;https://www.youtube.com/@GameReview_Riku;32,1K ;japanese
@kemai_youtube;https://www.youtube.com/@kemai_youtube;32,1K ;japanese
@eikyu-shihandai;https://www.youtube.com/@eikyu-shihandai;31K ;japanese
@PiasonYN;https://www.youtube.com/@PiasonYN;311K ;japanese
@HODORI_HORROR;https://www.youtube.com/@HODORI_HORROR;31,7K ;japanese
@user-vy5mr3jp7r;https://www.youtube.com/@user-vy5mr3jp7r;31,4K ;japanese
@user-uf3xz4dh6p;https://www.youtube.com/@user-uf3xz4dh6p;31,3K ;japanese
@retrogameTVyukkuri;https://www.youtube.com/@retrogameTVyukkuri;31,1K ;japanese
@moo-gpc;https://www.youtube.com/@moo-gpc;30,8K ;japanese
@bunbun_game;https://www.youtube.com/@bunbun_game;30,8K ;japanese
@user-gf1cy2br6z;https://www.youtube.com/@user-gf1cy2br6z;30,7K ;japanese
@pakupakugame;https://www.youtube.com/@pakupakugame;30,5K ;japanese
@norunine;https://www.youtube.com/@norunine;3,13M ;japanese
@TONAHENDY;https://www.youtube.com/@TONAHENDY;290K ;japanese
@user-xe9ul3le3d;https://www.youtube.com/@user-xe9ul3le3d;29,7K ;japanese
@user-lh3jl1hs7d;https://www.youtube.com/@user-lh3jl1hs7d;283K ;japanese
@user-ey7ix6jw7o;https://www.youtube.com/@user-ey7ix6jw7o;28,7K ;japanese
@yamachan-game-giriikiteru;https://www.youtube.com/@yamachan-game-giriikiteru;27,7K ;japanese
@user-fz3zq9qd1k;https://www.youtube.com/@user-fz3zq9qd1k;27,1K ;japanese
@user-ur7mz9oc6l;https://www.youtube.com/@user-ur7mz9oc6l;267K ;japanese
@VideoGameRemixes;https://www.youtube.com/@VideoGameRemixes;262K ;japanese
@SatochinGames;https://www.youtube.com/@SatochinGames;260K ;japanese
